Date;City;Mean Temperature Actual;Low Temperature Actual;High Temperature Actual;Precipitation Actual;Wind Speed Actual;Relative Humidity Actual
29/10/2018;Boston;12,22;8,89;15,56;;18,52;74,0
28/10/2018;Boston;9,17;6,11;12,22;;14,61;80,49
27/10/2018;Boston;8,36;6,11;10,61;;39,69;81,13
26/10/2018;Boston;5,0;1,11;8,89;;13,59;49,88
25/10/2018;Boston;6,64;3,28;10,0;0,1;16,44;69,57
24/10/2018;Boston;7,19;5,0;9,39;0,1;18,07;76,07
23/10/2018;Boston;9,19;5,0;13,3;1,04;13,83;77,78
22/10/2018;Boston;6,65;1,1;12,2;0,0;14,37;49,61
21/10/2018;Boston;7,19;2,8;11,7;0,08;24,0;50,89
20/10/2018;Boston;14,15;9,4;18,9;0,0;22,09;61,86
19/10/2018;Boston;10,0;2,8;17,2;0,0;21,89;52,2
18/10/2018;Boston;6,64;3,89;9,4;0,0;25,04;40,67
17/10/2018;Boston;11,97;6,72;17,22;0,0;22,56;55,48
16/10/2018;Boston;11,95;8,3;15,6;0,08;24,04;49,62
15/10/2018;Boston;14,1;7,2;21,1;0,18;20,24;79,5
14/10/2018;Boston;11,11;7,22;15,0;0,0;16,0;61,99
13/10/2018;Boston;10,01;7,8;12,22;0,33;15,11;69,58
12/10/2018;Boston;13,9;10,6;17,22;0,23;17,3;75,05
11/10/2018;Boston;18,31;14,39;22,22;1,52;13,07;90,15
10/10/2018;Boston;25,0;20,0;30,0;0,0;19,72;74,36
09/10/2018;Boston;20,56;14,39;26,72;0,0;19,91;80,47
08/10/2018;Boston;14,2;12,78;15,6;0,0;13,63;86,69
07/10/2018;Boston;21,17;15,61;26,72;0,25;17,59;83,95
06/10/2018;Boston;13,9;10,61;17,2;0,0;12,67;68,72
05/10/2018;Boston;16,17;11,72;20,61;0,0;17,63;68,4
04/10/2018;Boston;18,9;15,0;22,78;0,0;17,0;81,65
03/10/2018;Boston;15,0;12,22;17,8;0,53;8,02;87,8
02/10/2018;Boston;15,85;13,89;17,8;0,74;13,17;92,29
29/10/2018;Chicago;10,56;3,89;10,56;;16,67;61,0
28/10/2018;Chicago;8,67;6,72;10,61;;21,07;79,27
27/10/2018;Chicago;9,22;6,72;11,72;;8,67;72,02
26/10/2018;Chicago;10,0;8,28;11,72;;13,91;66,83
25/10/2018;Chicago;7,5;4,39;10,61;0,0;3,59;77,41
24/10/2018;Chicago;6,94;3,28;10,61;0,0;6,28;68,85
23/10/2018;Chicago;8,05;4,4;11,72;0,0;12,17;58,81
22/10/2018;Chicago;10,25;3,28;17,22;0,0;12,76;52,44
21/10/2018;Chicago;3,95;-2,1;10,0;0,0;14,35;49,91
20/10/2018;Chicago;5,85;0,0;11,7;0,0;29,83;57,99
